label-conc_cb	mean_t-conc_cb	2.5%q-conc_cb	97.5%q-conc_cb	label-indATP	mean_t-indATP	2.5%q-indATP	97.5%q-indATP	label-indEF	mean_t-indEF	2.5%q-indEF	97.5%q-indEF	label-indLeu	mean_t-indLeu	2.5%q-indLeu	97.5%q-indLeu	label-indSRP	mean_t-indSRP	2.5%q-indSRP	97.5%q-indSRP	label-indTyr	mean_t-indTyr	2.5%q-indTyr	97.5%q-indTyr	label-noATP	mean_t-noATP	2.5%q-noATP	97.5%q-noATP	label-noEF	mean_t-noEF	2.5%q-noEF	97.5%q-noEF	label-noLeu	mean_t-noLeu	2.5%q-noLeu	97.5%q-noLeu	label-noSRP	mean_t-noSRP	2.5%q-noSRP	97.5%q-noSRP	label-noTyr	mean_t-noTyr	2.5%q-noTyr	97.5%q-noTyr	label-bsinBV	mean_t-bsinBV	2.5%q-bsinBV	97.5%q-bsinBV
t_n292_CG-FORAMINIFERA	568.033	524.17	655.56	t_n292_CG-FORAMINIFERA	672.722	533.5	876.52	t_n292_CG-FORAMINIFERA	903.039	539.15	1432.75	t_n292_CG-FORAMINIFERA	860.258	610.62	1125.93	t_n292_CG-FORAMINIFERA	667.605	530.02	900.6	t_n292_CG-FORAMINIFERA	849.752	535.36	1404.64	t_n287_CG-FORAMINIFERA	584.887	525.08	697.17	t_n282_CG-FORAMINIFERA	579.095	525.07	675.99	t_n288_CG-FORAMINIFERA	575.578	524.4	679.79	t_n292_CG-FORAMINIFERA	578.451	524.62	684.5	t_n290_CG-FORAMINIFERA	585.108	525.33	692.21	t_n292_CG-FORAMINIFERA	574.44	524.47	672.82
t_n308_TG-OXYPHOTOBACTERIA	2978.991	2945.91	3064.38	t_n308_TG-OXYPHOTOBACTERIA	2985.358	2946.05	3087.26	t_n308_TG-OXYPHOTOBACTERIA	3177.296	2955.8	3527.58	t_n308_TG-OXYPHOTOBACTERIA	3058.567	2949.22	3268.32	t_n308_TG-OXYPHOTOBACTERIA	3109.308	2951.23	3407.57	t_n308_TG-OXYPHOTOBACTERIA	3239.089	2959.95	3650.9	t_n303_TG-OXYPHOTOBACTERIA	2995.945	2946.45	3116.24	t_n297_TG-OXYPHOTOBACTERIA	2979.668	2945.97	3065.33	t_n304_TG-OXYPHOTOBACTERIA	2976.104	2945.8	3055.09	t_n308_TG-OXYPHOTOBACTERIA	2984.914	2946.08	3083.31	t_n305_TG-OXYPHOTOBACTERIA	2981.972	2945.99	3073.74	t_n308_TG-OXYPHOTOBACTERIA	2984.665	2946.09	3082.17
t_n309_CG-OXYPHOTOBACTERIA	2215.808	2012.33	2436.25	t_n309_CG-OXYPHOTOBACTERIA	2307.191	2010.73	2639.18	t_n309_CG-OXYPHOTOBACTERIA	2613.563	2064.05	3156.6	t_n309_CG-OXYPHOTOBACTERIA	2372.795	2076.51	2675.13	t_n309_CG-OXYPHOTOBACTERIA	2225.691	1977.64	2607.63	t_n309_CG-OXYPHOTOBACTERIA	2362.932	1997.38	2921.81	t_n304_CG-OXYPHOTOBACTERIA	2221.432	2011.58	2456.22	t_n298_CG-OXYPHOTOBACTERIA	2182.468	2001.77	2390.92	t_n305_CG-OXYPHOTOBACTERIA	2165.139	1978.19	2412.07	t_n309_CG-OXYPHOTOBACTERIA	2277.414	2037.57	2510.9	t_n306_CG-OXYPHOTOBACTERIA	2228.262	2012.21	2462.35	t_n309_CG-OXYPHOTOBACTERIA	2192.867	1999.57	2421.46
t_n312_ARCHAEPLASTIDA-DUP1	1102.579	1035.3	1201.82	t_n312_ARCHAEPLASTIDA-DUP1	1269.565	1096.65	1462.51	t_n312_ARCHAEPLASTIDA-DUP1	1498.847	1234.91	1728.61	t_n312_ARCHAEPLASTIDA-DUP1	1180.519	1040.05	1398.55	t_n312_ARCHAEPLASTIDA-DUP1	1387.099	1170.72	1622.68	t_n312_ARCHAEPLASTIDA-DUP1	1601.3	1373.93	1790.28	t_n307_ARCHAEPLASTIDA-DUP1	1112.123	1035.97	1224.86	t_n301_ARCHAEPLASTIDA-DUP1	1115.162	1037.49	1221.43	t_n308_ARCHAEPLASTIDA-DUP1	1156.218	1050.19	1285.66	t_n312_ARCHAEPLASTIDA-DUP1	1126.952	1039.47	1246	t_n309_ARCHAEPLASTIDA-DUP1	1125.759	1039.79	1241.71	t_n312_ARCHAEPLASTIDA-DUP1	1128.214	1042.22	1239.63
t_n314_EMBRYOPHYTA-DUP1	446.185	431	482.52	t_n314_EMBRYOPHYTA-DUP1	467.936	432.12	513.89	t_n314_EMBRYOPHYTA-DUP1	478.922	433.72	516.13	t_n314_EMBRYOPHYTA-DUP1	477.864	433.62	515.83	t_n314_EMBRYOPHYTA-DUP1	472.222	432.58	515.12	t_n314_EMBRYOPHYTA-DUP1	469.122	432.12	514.49	t_n309_EMBRYOPHYTA-DUP1	451.548	431.2	496.67	t_n303_EMBRYOPHYTA-DUP1	467.231	432.48	512.18	t_n310_EMBRYOPHYTA-DUP1	448.292	431.04	490.8	t_n314_EMBRYOPHYTA-DUP1	446.53	431	484.37	t_n311_EMBRYOPHYTA-DUP1	457.889	431.62	505.37	t_n314_EMBRYOPHYTA-DUP1	443.666	430.91	475.38
t_n315_EUDICOT-MONOCOT-DUP1	249.716	235.23	267.98	t_n315_EUDICOT-MONOCOT-DUP1	196.318	133.84	247.03	t_n315_EUDICOT-MONOCOT-DUP1	238.665	206.61	256.13	t_n315_EUDICOT-MONOCOT-DUP1	221.202	165.7	250.75	t_n315_EUDICOT-MONOCOT-DUP1	185.647	127.78	246.99	t_n315_EUDICOT-MONOCOT-DUP1	204.829	134.01	249.37	t_n310_EUDICOT-MONOCOT-DUP1	248.036	232.25	265.16	t_n316_TG-EUKARYA-MITO	1412.605	1267.88	1590.21	t_n311_EUDICOT-MONOCOT-DUP1	249.075	233.59	267.62	t_n315_EUDICOT-MONOCOT-DUP1	249.538	234.8	267.72	t_n312_EUDICOT-MONOCOT-DUP1	246.883	230.53	262.74	t_n315_EUDICOT-MONOCOT-DUP1	250.2	236.14	268.57
t_n329_TG-EUKARYA-MITO	1432.561	1287.98	1616.36	t_n329_TG-EUKARYA-MITO	1804.631	1460.99	2233.66	t_n329_TG-EUKARYA-MITO	2524.321	1816.73	3266.4	t_n329_TG-EUKARYA-MITO	1495.116	1245.52	1823.86	t_n329_TG-EUKARYA-MITO	2808.123	2001.7	3450.75	t_n329_TG-EUKARYA-MITO	2766.384	2061.79	3441.92	t_n324_TG-EUKARYA-MITO	1471.709	1294.09	1694.87	t_n319_FUNGI-DUP1	749.826	645.74	862.37	t_n325_TG-EUKARYA-MITO	1580.081	1369.33	1857.54	t_n329_TG-EUKARYA-MITO	1489.023	1316.79	1706.49	t_n326_TG-EUKARYA-MITO	1489.235	1314.79	1712.27	t_n329_TG-EUKARYA-MITO	1383.491	1245.77	1556.82
t_n332_FUNGI-DUP1	683.842	586.32	788.89	t_n332_FUNGI-DUP1	801.702	600.76	1024.86	t_n332_FUNGI-DUP1	654.58	407.79	1068.91	t_n332_FUNGI-DUP1	578.237	419.56	788.3	t_n332_FUNGI-DUP1	857.286	598.49	1152.57	t_n332_FUNGI-DUP1	818.484	424.03	1359.36	t_n327_FUNGI-DUP1	589.541	477.84	712.44	t_n320_METAZOA	604.233	591.17	610.66	t_n328_FUNGI-DUP1	686.107	562.98	819.67	t_n332_FUNGI-DUP1	683.59	571.37	806.88	t_n329_FUNGI-DUP1	702.856	596.99	817.94	t_n332_FUNGI-DUP1	697.615	591.21	813.93
t_n333_METAZOA	605.449	594.59	611	t_n333_METAZOA	596.581	577.03	609.46	t_n333_METAZOA	597.312	577.37	609.61	t_n333_METAZOA	600.455	581.55	610.02	t_n333_METAZOA	596.17	576.7	609.43	t_n333_METAZOA	594.14	575.75	609.15	t_n328_METAZOA	604.303	591.25	610.71	t_n321_EUMETAZOA-DUP1	567.828	561.31	581.96	t_n329_METAZOA	603.413	588.89	610.51	t_n333_METAZOA	604.772	592.63	610.81	t_n330_METAZOA	604.747	592.62	610.83	t_n333_METAZOA	606.431	597.42	611.42
t_n334_EUMETAZOA-DUP1	566.192	561.25	577.65	t_n334_EUMETAZOA-DUP1	574.206	561.7	590.1	t_n334_EUMETAZOA-DUP1	573.313	561.6	589.84	t_n334_EUMETAZOA-DUP1	570.756	561.42	587.94	t_n334_EUMETAZOA-DUP1	573.673	561.64	589.95	t_n334_EUMETAZOA-DUP1	574.742	561.75	590.31	t_n329_EUMETAZOA-DUP1	567.369	561.29	581.15	t_n325_ARCHAEPLASTIDA-DUP2	1115.162	1037.49	1221.43	t_n330_EUMETAZOA-DUP1	568.281	561.33	583.27	t_n334_EUMETAZOA-DUP1	566.982	561.28	579.87	t_n331_EUMETAZOA-DUP1	566.947	561.27	579.76	t_n334_EUMETAZOA-DUP1	565.197	561.22	574.78
t_n338_ARCHAEPLASTIDA-DUP2	1102.579	1035.3	1201.82	t_n338_ARCHAEPLASTIDA-DUP2	1269.565	1096.65	1462.51	t_n338_ARCHAEPLASTIDA-DUP2	1498.847	1234.91	1728.61	t_n338_ARCHAEPLASTIDA-DUP2	1180.519	1040.05	1398.55	t_n338_ARCHAEPLASTIDA-DUP2	1387.099	1170.72	1622.68	t_n338_ARCHAEPLASTIDA-DUP2	1601.3	1373.93	1790.28	t_n331_ARCHAEPLASTIDA-DUP2	1112.123	1035.97	1224.86	t_n351_LUCA-DUP	4314.612	4227.42	4383.25	t_n334_ARCHAEPLASTIDA-DUP2	1156.218	1050.19	1285.66	t_n338_ARCHAEPLASTIDA-DUP2	1126.952	1039.47	1246	t_n335_ARCHAEPLASTIDA-DUP2	1125.759	1039.79	1241.71	t_n338_ARCHAEPLASTIDA-DUP2	1128.214	1042.22	1239.63
t_n340_EMBRYOPHYTA-DUP2	446.185	431	482.52	t_n340_EMBRYOPHYTA-DUP2	467.936	432.12	513.89	t_n340_EMBRYOPHYTA-DUP2	478.922	433.72	516.13	t_n340_EMBRYOPHYTA-DUP2	477.864	433.62	515.83	t_n340_EMBRYOPHYTA-DUP2	472.222	432.58	515.12	t_n340_EMBRYOPHYTA-DUP2	469.122	432.12	514.49	t_n333_EMBRYOPHYTA-DUP2	451.548	431.2	496.67	t_n373_TG-EUKARYA-MITO-DUP	1412.605	1267.88	1590.21	t_n336_EMBRYOPHYTA-DUP2	448.292	431.04	490.8	t_n340_EMBRYOPHYTA-DUP2	446.53	431	484.37	t_n337_EMBRYOPHYTA-DUP2	457.889	431.62	505.37	t_n340_EMBRYOPHYTA-DUP2	443.666	430.91	475.38
t_n341_EUDICOT-MONOCOT-DUP2	249.716	235.23	267.98	t_n341_EUDICOT-MONOCOT-DUP2	196.318	133.84	247.03	t_n341_EUDICOT-MONOCOT-DUP2	238.665	206.61	256.13	t_n341_EUDICOT-MONOCOT-DUP2	221.202	165.7	250.75	t_n341_EUDICOT-MONOCOT-DUP2	185.647	127.78	246.99	t_n341_EUDICOT-MONOCOT-DUP2	204.829	134.01	249.37	t_n334_EUDICOT-MONOCOT-DUP2	248.036	232.25	265.16	t_n377_FUNGI-DUP2	749.826	645.74	862.37	t_n337_EUDICOT-MONOCOT-DUP2	249.075	233.59	267.62	t_n341_EUDICOT-MONOCOT-DUP2	249.538	234.8	267.72	t_n338_EUDICOT-MONOCOT-DUP2	246.883	230.53	262.74	t_n341_EUDICOT-MONOCOT-DUP2	250.2	236.14	268.57
t_n368_LUCA-DUP	4274.561	4180.49	4349.79	t_n368_LUCA-DUP	4400.765	4301.31	4472.88	t_n368_LUCA-DUP	4094.587	3878.47	4268.18	t_n368_LUCA-DUP	4356.543	4241.45	4439.17	t_n368_LUCA-DUP	4257.52	4096.26	4389.01	t_n368_LUCA-DUP	4372.942	4199.28	4485.76	t_n359_LUCA-DUP	4225.349	4112.82	4316.35	t_n379_METAZOA	604.233	591.17	610.66	t_n364_LUCA-DUP	4263.249	4165.7	4342.33	t_n368_LUCA-DUP	4285.106	4184.61	4363.36	t_n365_LUCA-DUP	4270.024	4168.78	4349.73	t_n368_LUCA-DUP	4260.907	4156.81	4343.33
t_n391_TG-EUKARYA-MITO-DUP	1432.561	1287.98	1616.36	t_n391_TG-EUKARYA-MITO-DUP	1804.631	1460.99	2233.66	t_n391_TG-EUKARYA-MITO-DUP	2524.321	1816.73	3266.4	t_n391_TG-EUKARYA-MITO-DUP	1495.116	1245.52	1823.86	t_n391_TG-EUKARYA-MITO-DUP	2808.123	2001.7	3450.75	t_n391_TG-EUKARYA-MITO-DUP	2766.384	2061.79	3441.92	t_n382_TG-EUKARYA-MITO-DUP	1471.709	1294.09	1694.87	t_n380_EUMETAZOA-DUP2	567.828	561.31	581.96	t_n387_TG-EUKARYA-MITO-DUP	1580.081	1369.33	1857.54	t_n391_TG-EUKARYA-MITO-DUP	1489.023	1316.79	1706.49	t_n388_TG-EUKARYA-MITO-DUP	1489.235	1314.79	1712.27	t_n391_TG-EUKARYA-MITO-DUP	1383.491	1245.77	1556.82
t_n395_FUNGI-DUP2	683.842	586.32	788.89	t_n395_FUNGI-DUP2	801.702	600.76	1024.86	t_n395_FUNGI-DUP2	654.58	407.79	1068.91	t_n395_FUNGI-DUP2	578.237	419.56	788.3	t_n395_FUNGI-DUP2	857.286	598.49	1152.57	t_n395_FUNGI-DUP2	818.484	424.03	1359.36	t_n386_FUNGI-DUP2	589.541	477.84	712.44	t_n384_ARCHAEPLASTIDA-DUP3	1115.162	1037.49	1221.43	t_n391_FUNGI-DUP2	686.107	562.98	819.67	t_n395_FUNGI-DUP2	683.59	571.37	806.88	t_n392_FUNGI-DUP2	702.856	596.99	817.94	t_n395_FUNGI-DUP2	697.615	591.21	813.93
t_n397_METAZOA	605.449	594.59	611	t_n397_METAZOA	596.581	577.03	609.46	t_n397_METAZOA	597.312	577.37	609.61	t_n397_METAZOA	600.455	581.55	610.02	t_n397_METAZOA	596.17	576.7	609.43	t_n397_METAZOA	594.14	575.75	609.15	t_n388_METAZOA	604.303	591.25	610.71	t_n386_EMBRYOPHYTA-DUP3	467.231	432.48	512.18	t_n393_METAZOA	603.413	588.89	610.51	t_n397_METAZOA	604.772	592.63	610.81	t_n394_METAZOA	604.747	592.62	610.83	t_n397_METAZOA	606.431	597.42	611.42
t_n398_EUMETAZOA-DUP2	566.192	561.25	577.65	t_n398_EUMETAZOA-DUP2	574.206	561.7	590.1	t_n398_EUMETAZOA-DUP2	573.313	561.6	589.84	t_n398_EUMETAZOA-DUP2	570.756	561.42	587.94	t_n398_EUMETAZOA-DUP2	573.673	561.64	589.95	t_n398_EUMETAZOA-DUP2	574.742	561.75	590.31	t_n389_EUMETAZOA-DUP2	567.369	561.29	581.15	t_n387_EUDICOT-MONOCOT-DUP3	227.975	187.98	251.12	t_n394_EUMETAZOA-DUP2	568.281	561.33	583.27	t_n398_EUMETAZOA-DUP2	566.982	561.28	579.87	t_n395_EUMETAZOA-DUP2	566.947	561.27	579.76	t_n398_EUMETAZOA-DUP2	565.197	561.22	574.78
t_n402_ARCHAEPLASTIDA-DUP3	1102.579	1035.3	1201.82	t_n402_ARCHAEPLASTIDA-DUP3	1269.565	1096.65	1462.51	t_n402_ARCHAEPLASTIDA-DUP3	1498.847	1234.91	1728.61	t_n402_ARCHAEPLASTIDA-DUP3	1180.519	1040.05	1398.55	t_n402_ARCHAEPLASTIDA-DUP3	1387.099	1170.72	1622.68	t_n402_ARCHAEPLASTIDA-DUP3	1601.3	1373.93	1790.28	t_n393_ARCHAEPLASTIDA-DUP3	1112.123	1035.97	1224.86	t_n395_CG-FORAMINIFERA-DUP1	579.095	525.07	675.99	t_n398_ARCHAEPLASTIDA-DUP3	1156.218	1050.19	1285.66	t_n402_ARCHAEPLASTIDA-DUP3	1126.952	1039.47	1246	t_n399_ARCHAEPLASTIDA-DUP3	1125.759	1039.79	1241.71	t_n402_ARCHAEPLASTIDA-DUP3	1128.214	1042.22	1239.63
t_n404_EMBRYOPHYTA-DUP3	446.185	431	482.52	t_n404_EMBRYOPHYTA-DUP3	467.936	432.12	513.89	t_n404_EMBRYOPHYTA-DUP3	478.922	433.72	516.13	t_n404_EMBRYOPHYTA-DUP3	477.864	433.62	515.83	t_n404_EMBRYOPHYTA-DUP3	472.222	432.58	515.12	t_n404_EMBRYOPHYTA-DUP3	469.122	432.12	514.49	t_n395_EMBRYOPHYTA-DUP3	451.548	431.2	496.67	t_n404_TG-OXYPHOTOBACTERIA-DUP	2979.668	2945.97	3065.33	t_n400_EMBRYOPHYTA-DUP3	448.292	431.04	490.8	t_n404_EMBRYOPHYTA-DUP3	446.53	431	484.37	t_n401_EMBRYOPHYTA-DUP3	457.889	431.62	505.37	t_n404_EMBRYOPHYTA-DUP3	443.666	430.91	475.38
t_n405_EUDICOT-MONOCOT-DUP3	249.716	235.23	267.98	t_n405_EUDICOT-MONOCOT-DUP3	196.318	133.84	247.03	t_n405_EUDICOT-MONOCOT-DUP3	238.665	206.61	256.13	t_n405_EUDICOT-MONOCOT-DUP3	221.202	165.7	250.75	t_n405_EUDICOT-MONOCOT-DUP3	185.647	127.78	246.99	t_n405_EUDICOT-MONOCOT-DUP3	204.829	134.01	249.37	t_n396_EUDICOT-MONOCOT-DUP3	248.036	232.25	265.16	t_n405_CG-OXYPHOTOBACTERIA-DUP	2182.468	2001.77	2390.92	t_n401_EUDICOT-MONOCOT-DUP3	249.075	233.59	267.62	t_n405_EUDICOT-MONOCOT-DUP3	249.538	234.8	267.72	t_n402_EUDICOT-MONOCOT-DUP3	246.883	230.53	262.74	t_n405_EUDICOT-MONOCOT-DUP3	250.2	236.14	268.57
t_n413_CG-FORAMINIFERA-DUP1	568.033	524.17	655.56	t_n413_CG-FORAMINIFERA-DUP1	672.722	533.5	876.52	t_n413_CG-FORAMINIFERA-DUP1	903.039	539.15	1432.75	t_n413_CG-FORAMINIFERA-DUP1	860.258	610.62	1125.93	t_n413_CG-FORAMINIFERA-DUP1	667.605	530.02	900.6	t_n413_CG-FORAMINIFERA-DUP1	849.752	535.36	1404.64	t_n404_CG-FORAMINIFERA-DUP1	584.887	525.08	697.17	t_n408_ARCHAEPLASTIDA-DUP4	1115.162	1037.49	1221.43	t_n409_CG-FORAMINIFERA-DUP1	575.578	524.4	679.79	t_n413_CG-FORAMINIFERA-DUP1	578.451	524.62	684.5	t_n410_CG-FORAMINIFERA-DUP1	585.108	525.33	692.21	t_n413_CG-FORAMINIFERA-DUP1	574.44	524.47	672.82
t_n422_TG-OXYPHOTOBACTERIA-DUP	2978.991	2945.91	3064.38	t_n422_TG-OXYPHOTOBACTERIA-DUP	2985.358	2946.05	3087.26	t_n422_TG-OXYPHOTOBACTERIA-DUP	3177.296	2955.8	3527.58	t_n422_TG-OXYPHOTOBACTERIA-DUP	3058.567	2949.22	3268.32	t_n422_TG-OXYPHOTOBACTERIA-DUP	3109.308	2951.23	3407.57	t_n422_TG-OXYPHOTOBACTERIA-DUP	3239.089	2959.95	3650.9	t_n413_TG-OXYPHOTOBACTERIA-DUP	2995.945	2946.45	3116.24	t_n412_EMBRYOPHYTA-DUP4	467.231	432.48	512.18	t_n418_TG-OXYPHOTOBACTERIA-DUP	2976.104	2945.8	3055.09	t_n422_TG-OXYPHOTOBACTERIA-DUP	2984.914	2946.08	3083.31	t_n419_TG-OXYPHOTOBACTERIA-DUP	2981.972	2945.99	3073.74	t_n422_TG-OXYPHOTOBACTERIA-DUP	2984.665	2946.09	3082.17
